timestamp,symbol,action,decision,best_side,best_confidence,buy_confidence,sell_confidence,buy_score,sell_score,buy_base_score,sell_base_score,buy_smc_score,sell_smc_score,buy_participation_score,sell_participation_score,buy_hard_ok,sell_hard_ok,buy_level_ok,sell_level_ok,buy_level,sell_level,buy_level_source,sell_level_source,buy_smc_sweep,sell_smc_sweep,buy_smc_order_block,sell_smc_order_block,buy_smc_fvg_support,sell_smc_fvg_support,buy_smc_fvg_block,sell_smc_fvg_block,btc_trend,btc_corr,relative_strength,entry_close,trend_close,confirm_close,futures_context_available,oi_change_pct,taker_buy_sell_ratio,global_long_short_ratio,top_long_short_ratio,funding_rate,skip_reason
2026-06-21T11:01:25,SANTOSUSDT,NO_SIGNAL,NONE,SELL,95.15,43.38,95.15,14.75,32.35,15,30,-0.25,2.35,0,0,False,False,True,True,0.6005,0.6508,4h_pivot,4h_pivot,4h,,,4h_ob,,4h_bearish_fvg,4h_bearish_fvg,,BEARISH,0.35,-4.43,0.612,0.6099,0.6127,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:26,COWUSDT,NO_SIGNAL,NONE,SELL,75.0,64.47,75.0,21.92,25.5,19,25,2.92,0.5,0,0,False,False,True,True,0.1567,0.1592,4h_pivot,4h_pivot,,,1d_ob,4h_ob,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.59,9.63,0.1574,0.1575,0.1578,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:27,CETUSUSDT,NO_SIGNAL,NONE,SELL,95.09,47.5,95.09,16.15,32.33,16,28,0.15,4.33,0,0,False,False,True,True,0.0174,0.01856,1d_pivot,1d_pivot,4h,1h,1d_ob,4h_ob,,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.45,0.59,0.01829,0.01838,0.01839,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:29,1000000MOGUSDT,NO_SIGNAL,NONE,SELL,98.94,46.44,98.94,15.79,33.64,13,33,2.79,0.64,0,0,False,False,True,True,0.1069,0.1156,4h_pivot,4h_pivot,,,4h_ob,,4h_bullish_fvg,1d_bearish_fvg,,,BEARISH,0.75,3.58,0.1128,0.1141,0.1136,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:30,GRASSUSDT,NO_SIGNAL,NONE,BUY,100,100,43.06,35.0,14.64,33,14,2.0,0.64,0,0,False,False,True,True,0.3864,0.4378,4h_pivot,4h_pivot,,,4h_ob,,,4h_bearish_fvg,,,BEARISH,0.46,5.36,0.4184,0.4083,0.414,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:32,DRIFTUSDT,NO_SIGNAL,NONE,SELL,63.24,62.44,63.24,21.23,21.5,20,21,1.23,0.5,0,0,False,False,True,True,0.01589,0.01791,4h_pivot,4h_pivot,,1h,4h_ob,,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.14,5.47,0.01744,0.0169,0.01746,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:33,ACTUSDT,SIGNAL,SELL,SELL,100,22.06,100,7.5,37.56,9,35,-1.5,2.56,0,0,False,True,True,True,0.00877,0.01011,4h_pivot,4h_pivot,,,,4h_ob,,4h_bearish_fvg,4h_bearish_fvg,,BEARISH,0.53,-9.88,0.0092,0.00933,0.00914,False,,,,,,
2026-06-21T11:01:35,PNUTUSDT,NO_SIGNAL,NONE,BUY,73.53,73.53,57.79,25.0,19.65,23,19,2.0,0.65,0,0,False,False,True,True,0.04278,0.04485,1d_pivot,1d_pivot,,,1d_ob,,,4h_bearish_fvg,,,BEARISH,0.47,4.32,0.04448,0.04418,0.04448,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:36,BANUSDT,NO_SIGNAL,NONE,SELL,80.88,32.91,80.88,11.19,27.5,12,26,-0.81,1.5,0,0,False,False,True,True,0.06306,0.0688,1d_pivot,1d_pivot,,,,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.34,-9.23,0.06611,0.06526,0.06613,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:37,SCRTUSDT,NO_SIGNAL,NONE,SELL,76.29,60.53,76.29,20.58,25.94,18,25,2.58,0.94,0,0,False,False,True,True,0.05865,0.06047,4h_pivot,4h_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,1d_bearish_fvg,,4h_bullish_fvg,BEARISH,0.6,-1.63,0.05871,0.05941,0.05924,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:39,1000CHEEMSUSDT,NO_SIGNAL,NONE,SELL,79.06,44.38,79.06,15.09,26.88,14,26,1.09,0.88,0,0,False,False,True,True,0.0005059,0.0005539,1d_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.57,-15.87,0.0005309,0.0005311,0.0005341,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:40,THEUSDT,NO_SIGNAL,NONE,SELL,99.59,33.03,99.59,11.23,33.86,10,32,1.23,1.86,0,0,False,False,True,True,0.06267,0.06907,1d_pivot,4h_pivot,,1h,4h_ob,4h_ob,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.33,-5.47,0.06469,0.06519,0.06564,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:42,MORPHOUSDT,SIGNAL,SELL,SELL,79.18,52.59,79.18,17.88,26.92,15,26,2.88,0.92,0,0,False,True,True,True,1.812,1.9068,1d_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,4h_bearish_fvg,,4h_bullish_fvg,BEARISH,0.56,-7.76,1.8145,1.8185,1.8099,False,,,,,,
2026-06-21T11:01:43,CHILLGUYUSDT,NO_SIGNAL,NONE,BUY,69.91,69.91,61.79,23.77,21.01,21,20,2.77,1.01,0,0,False,False,True,True,0.008571,0.00964,4h_pivot,1d_pivot,,4h,4h_ob,4h_ob,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.54,10.11,0.009426,0.00967,0.009425,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:44,KAIAUSDT,NO_SIGNAL,NONE,SELL,100,29.56,100,10.05,34.47,10,32,0.05,2.47,0,0,False,False,True,True,0.0366,0.03757,4h_pivot,4h_pivot,,,4h_ob,4h_ob,,1d_bearish_fvg,1d_bearish_fvg,,BEARISH,0.62,-0.73,0.03699,0.0372,0.03721,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:46,ACXUSDT,NO_SIGNAL,NONE,SELL,68.15,57.32,68.15,19.49,23.17,18,22,1.49,1.17,0,0,False,False,True,True,0.0404,0.04294,1d_pivot,1d_pivot,,,4h_ob,4h_ob,4h_bullish_fvg,1d_bearish_fvg,4h_bearish_fvg,4h_bullish_fvg,BEARISH,0.34,-2.14,0.04177,0.0419,0.04167,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:48,ORCAUSDT,NO_SIGNAL,NONE,BUY,66.88,66.88,54.41,22.74,18.5,22,20,0.74,-1.5,0,0,False,False,True,True,1.216,1.259,4h_pivot,4h_pivot,,,,,4h_bullish_fvg,,,4h_bullish_fvg,BEARISH,0.31,-1.46,1.234,1.235,1.253,False,,,,,,NO_FINAL_SIGNAL
2026-06-21T11:01:49,MOVEUSDT,NO_SIGNAL,NONE,SELL,98.53,33.68,98.53,11.45,33.5,11,32,0.45,1.5,0,0,False,False,True,True,0.01179,0.01215,4h_pivot,4h_pivot,,,4h_ob,4h_ob,,,4h_bearish_fvg,,BEARISH,0.54,-2.79,0.01189,0.01191,0.01203,False,,,,,,NO_FINAL_SIGNAL
